paper_id,title,publication_date,journal_conference,citation_count,field_of_study,author_prestige_score,paper_quality_score,novelty_score,pdf_available,doi
e5162aba-e5cd-4213-ada3-f489c426638a,Molecular Approach in Biology,2020-10-18 17:50:35.721543,Science,39,Biology,0.649,0.559,0.706,True,10.1234/science.2020.4559
d87a4020-072e-4e6b-804e-accba1a375b4,Theoretical Framework in Medicine,2016-01-23 17:43:22.938737,New England Journal of Medicine,131,Medicine,0.291,0.282,0.381,True,10.1234/newenglandjournalofmedicine.2016.2986
033dcdd8-58ed-4a79-a036-74cdc2fdba00,Experimental Approach in Engineering,2024-05-31 03:29:54.861091,International Conference,9,Engineering,0.237,0.225,0.102,True,10.1234/internationalconference.2024.2723
6e2fed6a-99fd-4bc6-bdb6-c321b9856b55,Algorithm Framework in Computer Science,2023-08-01 15:38:14.056164,ICML,14,Computer Science,0.112,0.0,0.452,True,10.1234/icml.2023.8388
7623d582-8767-49f4-b01f-390d084ae49d,Novel Analysis in Medicine,2022-11-18 18:20:48.421651,New England Journal of Medicine,157,Medicine,0.397,0.386,0.544,False,10.1234/newenglandjournalofmedicine.2022.4397
7b4dd6b7-1f0b-4863-983b-ae3e81b5595e,Advanced Framework in Engineering,2021-06-25 17:27:43.133942,International Conference,7,Engineering,0.838,1.0,0.849,True,10.1234/internationalconference.2021.1437
4ae801a5-6a3e-49fa-b600-4cdc40b1a08f,Quantum Framework in Physics,2022-05-14 05:00:43.902617,Physical Review Letters,112,Physics,0.503,0.571,0.126,True,10.1234/physicalreviewletters.2022.7244
baf59158-a6a4-46d3-9bf2-c737e35a72aa,Experimental Framework in Medicine,2021-07-08 14:17:53.129678,JAMA,354,Medicine,0.445,0.614,0.523,True,10.1234/jama.2021.4185
3447c5c3-137e-4ae0-9874-e984978b358e,Genetic Approach in Biology,2024-11-08 03:52:06.516773,Cell,3,Biology,0.319,0.284,0.81,False,10.1234/cell.2024.1175
0435ca36-be04-4798-ab75-aa6ce3f231ce,Particle Approach in Physics,2017-01-11 14:49:35.445102,Nature Physics,1,Physics,0.718,0.871,0.412,False,10.1234/naturephysics.2017.3236
98b5e92a-8db8-468a-ba7e-9208c6ece7a9,Particle Framework in Physics,2022-04-14 21:50:13.163434,Nature Physics,109,Physics,0.799,0.596,0.168,True,10.1234/naturephysics.2022.8942
c5c6aebe-d4a7-46a5-a9f0-c6b309207eba,Theoretical Approach in Chemistry,2025-03-26 09:09:56.632681,International Conference,3,Chemistry,0.664,0.556,0.758,True,10.1234/internationalconference.2025.2352
6251e83b-2f7e-4b2b-8c42-dfe3f6cf01c1,Novel Framework in Economics,2016-09-23 10:26:09.983920,Journal of Economics,207,Economics,0.446,0.475,0.338,True,10.1234/journalofeconomics.2016.3297
2834f0e9-6b19-463b-9579-61f4ee5607b7,Theoretical Analysis in Engineering,2022-07-03 18:39:21.120659,International Conference,3,Engineering,0.536,0.678,0.217,True,10.1234/internationalconference.2022.3643
e6c995ae-b658-4c2d-af39-92abf4c5efba,Novel Approach in Economics,2019-11-29 02:59:20.162729,International Conference,29,Economics,0.324,0.185,0.184,True,10.1234/internationalconference.2019.2646
d07ac24c-cc70-41f8-99fa-6c3b24531477,Thermodynamic Analysis in Physics,2019-11-28 19:34:42.214006,Nature Physics,35,Physics,0.465,0.314,0.612,True,10.1234/naturephysics.2019.3034
22e8d376-4c91-46ec-9eba-60191bb83944,Theoretical Study in Mathematics,2021-02-09 01:54:49.170201,International Conference,8,Mathematics,0.638,0.606,0.264,False,10.1234/internationalconference.2021.2271
7a88a227-19c7-4285-a65e-3def7552fcfe,Deep Analysis in Computer Science,2019-03-12 13:30:37.099942,NeurIPS,6,Computer Science,0.267,0.0,0.496,True,10.1234/neurips.2019.3514
d01dec22-c26f-4f48-b62c-bbcf54918cde,Theoretical Analysis in Economics,2017-09-09 17:12:09.017590,Journal of Economics,314,Economics,0.846,0.678,0.671,True,10.1234/journalofeconomics.2017.3915
95d515c0-2e6e-49e7-a887-b58b42cd56cd,Learning Approach in Computer Science,2024-03-21 21:07:46.498223,CVPR,2,Computer Science,0.274,0.385,0.157,True,10.1234/cvpr.2024.9721
f4d8dd80-a4e6-4b06-abfd-ccb21d8933eb,Cellular Framework in Biology,2019-01-25 18:55:35.328590,Genome Research,263,Biology,0.275,0.081,0.249,True,10.1234/genomeresearch.2019.1782
4710f698-0c08-468e-8615-7bfaff10352b,Atomic Approach in Physics,2019-01-22 09:11:56.573949,Science Advances,10,Physics,0.576,0.528,0.061,True,10.1234/scienceadvances.2019.7399
cda44494-c7a3-48b7-9d78-1160d0341c63,Experimental Framework in Chemistry,2018-09-10 02:12:30.534441,International Conference,36,Chemistry,0.503,0.37,0.536,True,10.1234/internationalconference.2018.1858
c1012409-7a28-487c-8c00-64a5eb88bef5,Deep Approach in Computer Science,2019-10-29 12:14:42.128937,SIGIR,25,Computer Science,0.816,0.996,0.608,True,10.1234/sigir.2019.7183
926e03d5-693a-49f4-b94d-ca317b77160e,Novel Study in Medicine,2016-03-21 12:32:46.350669,JAMA,63,Medicine,0.509,0.613,0.563,True,10.1234/jama.2016.7138
0698518e-a223-4380-8aeb-20b344748683,Novel Study in Economics,2016-02-09 12:56:06.360462,International Conference,17,Economics,0.223,0.16,0.332,True,10.1234/internationalconference.2016.2497
509dd4f5-40ee-4f37-8a47-f662022bee16,Advanced Framework in Mathematics,2016-05-25 14:16:35.177714,International Conference,187,Mathematics,0.338,0.35,0.094,True,10.1234/internationalconference.2016.1457
5c34f6fe-eca1-43da-b11f-3f654b4b6eb8,Advanced Analysis in Engineering,2022-01-02 10:57:58.539267,Journal of Engineering,10,Engineering,0.762,0.711,0.255,True,10.1234/journalofengineering.2022.4148
279069aa-7202-43d6-a20b-0bb666ca4175,Biological Approach in Biology,2024-11-08 09:30:00.198370,Cell,14,Biology,0.723,0.787,0.396,True,10.1234/cell.2024.4613
0d2247e5-3f61-4191-94e4-17c847bde963,Genomic Study in Biology,2023-04-20 09:10:16.123282,Genome Research,69,Biology,0.328,0.295,0.405,True,10.1234/genomeresearch.2023.3736
8b1cbc5d-17b9-4fff-a70e-26826d69e5f0,Advanced Framework in Engineering,2020-01-26 19:37:46.678507,Journal of Engineering,10,Engineering,0.739,0.783,0.628,True,10.1234/journalofengineering.2020.9396
1121db26-cef3-46da-ab00-7989c4bcdb93,Neural Analysis in Computer Science,2016-08-09 01:55:40.938861,ICML,4,Computer Science,0.522,0.38,0.465,True,10.1234/icml.2016.6286
957f4ac5-11e0-46dd-9266-9c520215dcba,Novel Study in Mathematics,2025-04-03 08:50:57.677413,Journal of Mathematics,3,Mathematics,0.638,0.703,0.695,True,10.1234/journalofmathematics.2025.9875
332838fb-7755-4399-817f-0dd7595c6321,Theoretical Framework in Mathematics,2022-12-02 15:29:09.713212,International Conference,9,Mathematics,0.35,0.319,0.082,False,10.1234/internationalconference.2022.2979
0a0f0643-08f6-4953-b656-d24ae98df0da,Novel Study in Engineering,2021-01-05 22:53:21.800754,International Conference,80,Engineering,0.698,0.756,0.155,True,10.1234/internationalconference.2021.2734
ccff4d54-44c8-4bd5-8218-d818dc45d447,Experimental Analysis in Economics,2020-02-27 08:34:08.155825,International Conference,36,Economics,0.45,0.584,0.413,True,10.1234/internationalconference.2020.3844
d6fbc8ce-227a-477d-8b64-ba8978b0b05f,Quantum Framework in Physics,2024-11-23 02:42:35.784943,Physical Review Letters,79,Physics,0.411,0.415,0.667,True,10.1234/physicalreviewletters.2024.6181
69078cbc-bf7f-4689-aa98-d57076395a58,Quantum Framework in Physics,2023-05-10 20:07:15.493554,Science Advances,177,Physics,0.08,0.207,0.139,True,10.1234/scienceadvances.2023.4485
533d58cc-757c-491c-bf82-fd9f75d8ca24,AI Study in Computer Science,2021-05-08 10:03:09.636453,NeurIPS,12,Computer Science,0.322,0.359,0.51,False,10.1234/neurips.2021.2081
651f8c6e-fd96-4243-86d6-c547baa16e07,Atomic Analysis in Physics,2020-10-31 06:41:25.251470,Physical Review Letters,45,Physics,0.918,0.974,0.208,True,10.1234/physicalreviewletters.2020.7045
c54aa0ea-dcf4-42cf-9f0b-717fc8c64dc2,Advanced Approach in Chemistry,2024-08-24 08:07:45.050315,Journal of Chemistry,34,Chemistry,0.774,0.962,0.259,True,10.1234/journalofchemistry.2024.4580
72cecb3e-15fb-4a0c-a048-aff24a988e97,Theoretical Analysis in Sociology,2024-01-09 19:10:39.212802,International Conference,0,Sociology,0.752,0.788,0.555,True,10.1234/internationalconference.2024.9185
e4214db4-1243-4761-b1ec-d5e1165171f2,Neural Study in Computer Science,2023-12-13 17:24:06.222839,CVPR,8,Computer Science,0.595,0.732,0.258,True,10.1234/cvpr.2023.5127
78b23be9-aafb-4d02-8d18-f1022672b4ed,Quantum Analysis in Physics,2018-04-01 22:09:34.665099,Nature Physics,39,Physics,0.316,0.24,0.291,True,10.1234/naturephysics.2018.7366
2625a399-dac6-4d4e-9ffa-2105cece6e21,Machine Analysis in Computer Science,2023-06-05 02:10:13.530999,NeurIPS,44,Computer Science,0.492,0.329,0.166,True,10.1234/neurips.2023.3872
7dd39250-acf4-4373-a2ae-84e41f0b14a3,Experimental Framework in Mathematics,2022-04-28 00:33:37.676002,Journal of Mathematics,72,Mathematics,0.199,0.051,0.63,True,10.1234/journalofmathematics.2022.2106
2b7f1dc2-ee76-4773-b843-d964cad14835,Experimental Approach in Engineering,2016-05-14 12:37:43.508910,Journal of Engineering,102,Engineering,0.825,0.699,0.242,False,10.1234/journalofengineering.2016.8354
ee7c9fe0-84a2-4844-b6c8-21e74b320a7a,Theoretical Study in Engineering,2016-12-14 08:28:11.037928,Journal of Engineering,1,Engineering,0.804,0.883,0.479,True,10.1234/journalofengineering.2016.9248
20434cc9-2b61-46dd-88dc-f88a2156419c,Advanced Study in Engineering,2019-11-23 14:18:03.827670,Journal of Engineering,1,Engineering,0.372,0.0,0.24,True,10.1234/journalofengineering.2019.1347
d63986ac-28e5-4a93-bbef-b3d35b576546,Evolutionary Approach in Biology,2015-12-20 23:18:30.541413,Cell,5,Biology,0.835,0.919,0.309,False,10.1234/cell.2015.6060
08fcbe36-9239-47e5-a9b0-c3f04cec9ae9,Novel Framework in Medicine,2023-08-26 18:57:40.382901,BMJ,1,Medicine,0.719,0.763,0.088,True,10.1234/bmj.2023.4990
ad3081c2-03a8-485f-8b7e-19fd235dec93,Advanced Approach in Chemistry,2016-07-17 22:17:13.414432,Journal of Chemistry,40,Chemistry,0.535,0.317,0.14,True,10.1234/journalofchemistry.2016.3253
9f2715f1-4e40-4aa5-a855-b5733b7bfd76,Molecular Framework in Biology,2016-02-08 19:13:07.468744,PLOS Biology,48,Biology,0.46,0.482,0.115,True,10.1234/plosbiology.2016.5859
f0794aff-e853-40ca-9fc6-055c7c6b9606,Novel Study in Medicine,2018-03-18 00:10:14.841533,The Lancet,22,Medicine,0.502,0.422,0.358,True,10.1234/thelancet.2018.7156
c30c7f8b-f623-40c4-b2f4-cf567d7a95ce,Thermodynamic Approach in Physics,2022-04-02 12:02:37.416471,APL,22,Physics,0.382,0.336,0.69,True,10.1234/apl.2022.4900
96681e0b-790b-4346-8174-85a15b2bc338,Theoretical Analysis in Mathematics,2024-12-11 06:15:47.780965,International Conference,61,Mathematics,0.178,0.184,1.0,True,10.1234/internationalconference.2024.3199
caed41eb-12d8-484e-8c19-da97dcb40d10,Experimental Analysis in Medicine,2025-03-18 16:08:24.050474,New England Journal of Medicine,7,Medicine,0.377,0.253,0.393,True,10.1234/newenglandjournalofmedicine.2025.1648
dc8d2382-d1ab-4a74-b070-a66076857885,Theoretical Analysis in Chemistry,2024-08-13 21:37:48.007815,International Conference,25,Chemistry,0.372,0.192,0.334,True,10.1234/internationalconference.2024.1388
43ea54d9-cf9d-42de-a5c0-c4701a808d21,Learning Analysis in Computer Science,2016-10-22 15:01:59.779198,ICML,56,Computer Science,0.549,0.491,0.382,True,10.1234/icml.2016.6615
680fff91-8604-49f0-bbfe-ded89f730197,Novel Study in Medicine,2023-10-30 13:07:59.136091,BMJ,11,Medicine,0.508,0.525,0.437,False,10.1234/bmj.2023.9836
1ed093ac-2101-4404-b7f5-c63de481d46a,Deep Study in Computer Science,2018-08-21 10:59:03.417262,ICML,1,Computer Science,0.8,0.466,0.519,False,10.1234/icml.2018.4644
3163b830-8baa-45f1-8d67-2b9746954423,Relativistic Framework in Physics,2020-08-05 23:34:44.824286,Physical Review Letters,86,Physics,0.664,0.516,0.837,False,10.1234/physicalreviewletters.2020.9543
2f566bf8-54fa-479a-9a8c-248edbc08181,Algorithm Study in Computer Science,2018-08-02 13:33:17.942966,ICML,949,Computer Science,0.816,0.837,0.278,True,10.1234/icml.2018.8247
26ac752e-2f46-4076-abd7-9807a434bf0c,Biological Approach in Biology,2020-11-27 17:34:42.747146,Genome Research,31,Biology,0.191,0.587,0.806,True,10.1234/genomeresearch.2020.2058
68e38640-7713-4101-98e6-c59d39c5cc39,AI Approach in Computer Science,2020-09-12 20:31:19.712354,ICML,9,Computer Science,0.853,0.659,0.543,True,10.1234/icml.2020.4153
b3d99034-837f-4310-a2d5-461bcbfd46d4,Advanced Study in Mathematics,2020-10-09 07:28:24.212340,International Conference,79,Mathematics,0.635,0.689,0.172,True,10.1234/internationalconference.2020.4345
34278de8-a133-4263-b09e-c1b05a62af50,Cellular Approach in Biology,2018-05-24 06:33:48.335458,PLOS Biology,374,Biology,0.889,1.0,0.347,False,10.1234/plosbiology.2018.3845
6765c4d9-1f9c-4829-ab1f-85c12e635169,Learning Study in Computer Science,2021-06-18 17:44:26.086755,AAAI,91,Computer Science,0.472,0.658,0.319,True,10.1234/aaai.2021.9313
265786de-4e61-4e97-81ca-7422d4e8d588,Quantum Framework in Physics,2021-03-12 14:03:56.006508,Science Advances,11,Physics,0.243,0.0,0.096,True,10.1234/scienceadvances.2021.8652
d9406b72-b1d9-422e-bbe6-ee01639a516d,Experimental Study in Medicine,2015-11-15 22:12:23.139684,New England Journal of Medicine,33,Medicine,0.356,0.219,0.098,False,10.1234/newenglandjournalofmedicine.2015.4236
cdd9995e-a233-4cd9-a8e4-e5aa25d9a5f7,Learning Framework in Computer Science,2017-08-10 06:56:23.971847,CVPR,10,Computer Science,0.064,0.0,0.607,True,10.1234/cvpr.2017.3890
1678797a-cbf5-4de4-8c72-831480cb4c43,Novel Analysis in Engineering,2022-12-28 15:37:17.301465,Journal of Engineering,3,Engineering,0.598,0.601,0.703,True,10.1234/journalofengineering.2022.5675
b760287f-30a9-4ff0-ba5d-9c6ab84ae1cd,Relativistic Framework in Physics,2021-06-08 18:57:48.642392,Nature Physics,17,Physics,0.345,0.366,0.575,True,10.1234/naturephysics.2021.4299
4e77ffbb-5aed-4052-a9e4-424b51ede3b3,Experimental Framework in Chemistry,2020-06-24 02:26:34.383216,International Conference,97,Chemistry,0.694,0.794,0.853,True,10.1234/internationalconference.2020.2310
4afc99a7-c4fc-4ca0-a4c9-a356a49f1117,Molecular Framework in Biology,2020-01-16 01:45:45.668033,Nature,88,Biology,0.618,0.643,0.465,True,10.1234/nature.2020.7188
6ceff0d6-ff98-4b89-82ef-98486e987f4e,Novel Framework in Medicine,2017-06-01 07:57:48.604905,BMJ,552,Medicine,0.463,0.857,0.438,True,10.1234/bmj.2017.8231
9c5fd117-c616-4fd3-85fa-54f408f4334d,Field Framework in Physics,2023-05-22 15:15:25.156996,Nature Physics,43,Physics,0.521,0.567,0.294,False,10.1234/naturephysics.2023.3553
341831b5-6b11-4422-997f-5d7e91b1bccb,Theoretical Approach in Chemistry,2019-09-14 08:34:52.356310,Journal of Chemistry,23,Chemistry,0.54,0.339,0.264,True,10.1234/journalofchemistry.2019.7249
16aea991-598b-4ce8-aaf9-0a27db1ef631,Theoretical Approach in Sociology,2022-04-06 09:16:46.544664,Journal of Sociology,2,Sociology,0.786,0.79,0.455,True,10.1234/journalofsociology.2022.5918
338b58b0-58e1-4c12-b396-994af7048758,Evolutionary Study in Biology,2019-03-13 05:51:39.760433,PLOS Biology,24,Biology,0.196,0.426,0.536,True,10.1234/plosbiology.2019.3878
e216e826-b46f-468e-8e9e-f4bd1aacdd05,Experimental Framework in Mathematics,2015-09-29 02:12:31.388269,International Conference,4,Mathematics,0.667,0.795,0.611,True,10.1234/internationalconference.2015.8596
2e169ae5-a1a0-40ec-98e6-c8871cacbb3a,Molecular Framework in Biology,2022-02-14 18:46:45.199790,Cell,8,Biology,0.237,0.317,0.8,True,10.1234/cell.2022.5640
e08a7fef-9dc4-4b09-8c6e-e2802120db01,Theoretical Framework in Chemistry,2024-05-21 07:03:06.059731,Journal of Chemistry,9,Chemistry,0.734,0.732,0.597,True,10.1234/journalofchemistry.2024.2178
a03727bb-ff80-409e-8ba4-13d12fdb2d85,Experimental Study in Mathematics,2021-08-27 13:31:49.501007,International Conference,52,Mathematics,0.51,0.419,0.07,True,10.1234/internationalconference.2021.8688
d02cf0c7-f22f-4b73-a8bb-4cfb2061bca2,Novel Study in Mathematics,2024-02-23 03:23:43.409751,Journal of Mathematics,3,Mathematics,0.4,0.648,0.933,True,10.1234/journalofmathematics.2024.4106
7305e31b-6d1c-4377-aa59-654b7745acce,Advanced Approach in Engineering,2022-01-08 18:03:42.790386,International Conference,11,Engineering,0.126,0.023,0.747,True,10.1234/internationalconference.2022.9203
b4ec63da-caef-4c8d-b01c-93770a0ed5c1,Experimental Framework in Engineering,2021-03-16 19:24:42.209966,Journal of Engineering,9,Engineering,0.432,0.097,0.324,True,10.1234/journalofengineering.2021.7628
b33116f4-114d-4be1-9204-4120fff46289,Theoretical Framework in Engineering,2024-02-20 08:01:05.355003,Journal of Engineering,5,Engineering,0.317,0.391,0.512,True,10.1234/journalofengineering.2024.7113
4a8b9fcb-1fcb-45e2-a3fb-17c51bef538b,Theoretical Framework in Sociology,2021-11-10 20:05:00.066319,International Conference,27,Sociology,0.442,0.08,0.09,True,10.1234/internationalconference.2021.6043
abcb0163-05da-42e6-8171-5a4de25c67b0,Advanced Framework in Psychology,2024-02-17 13:42:31.890408,International Conference,17,Psychology,0.743,0.773,0.163,True,10.1234/internationalconference.2024.1636
68520fe0-01c4-4bc2-b0e3-e2420a18a7f0,Advanced Framework in Economics,2020-07-22 12:25:32.095626,International Conference,73,Economics,0.868,0.97,0.399,True,10.1234/internationalconference.2020.3660
d16e8217-7c7d-450f-98a6-b5fc8e07f1c5,Cellular Framework in Biology,2021-03-30 06:23:21.409718,PNAS,32,Biology,0.532,0.321,0.804,True,10.1234/pnas.2021.5182
1188adb4-aa95-4a1e-9f60-6c1ee2c0f159,Biological Analysis in Biology,2017-11-25 20:45:27.323471,PLOS Biology,41,Biology,0.49,0.394,0.611,True,10.1234/plosbiology.2017.9349
4ac64151-d524-4e01-9f53-5c1c519f895c,AI Analysis in Computer Science,2025-04-07 08:25:46.069701,NeurIPS,15,Computer Science,0.517,0.37,0.289,True,10.1234/neurips.2025.1945
7827126a-a901-48a2-b291-2c87d3b240a5,Atomic Framework in Physics,2020-09-13 23:26:12.914000,APL,271,Physics,0.834,0.722,0.392,True,10.1234/apl.2020.7947
d98c8d78-4d01-48a6-85fc-a9779105b3c8,Novel Study in Engineering,2017-07-27 05:31:41.302167,International Conference,20,Engineering,0.504,0.631,0.409,False,10.1234/internationalconference.2017.8827
eda85958-dfb6-4691-9858-3ff07ca46f20,Genomic Analysis in Biology,2022-05-30 16:07:15.710889,PLOS Biology,37,Biology,0.631,0.596,0.248,True,10.1234/plosbiology.2022.1462
d17ddd22-72f6-4f3c-8d5f-01468c0ffc9f,Machine Analysis in Computer Science,2022-11-21 21:13:13.209305,WWW,13,Computer Science,0.703,0.86,0.47,True,10.1234/www.2022.8462
3d153b92-a356-4094-9640-823b9645ff97,Biological Study in Biology,2025-07-18 08:54:17.704488,Nature,3,Biology,0.626,0.695,0.924,True,10.1234/nature.2025.5166
879169ab-a16e-4ca4-9cad-65e5b9e58879,Novel Study in Economics,2017-01-04 11:56:26.035548,International Conference,4,Economics,0.653,0.546,0.42,True,10.1234/internationalconference.2017.1202
86aef712-1e84-49c3-bf46-fb13ffdc4b98,Advanced Approach in Chemistry,2020-05-01 20:27:47.983939,International Conference,379,Chemistry,0.671,0.696,0.466,True,10.1234/internationalconference.2020.7297
355331df-906d-44c6-a774-7cc5d76e485a,Theoretical Approach in Mathematics,2023-10-23 17:54:42.936227,Journal of Mathematics,19,Mathematics,0.207,0.218,0.617,True,10.1234/journalofmathematics.2023.9495
4eff500f-d1e6-4959-9df2-7787e0e233b3,Cellular Framework in Biology,2017-07-22 04:17:32.372908,Genome Research,67,Biology,0.556,0.922,0.292,False,10.1234/genomeresearch.2017.3716
783cd63d-2cbb-44b4-b64d-e0c4aeea4d8e,Theoretical Analysis in Engineering,2024-02-29 04:38:25.633275,International Conference,3,Engineering,0.104,0.058,0.618,True,10.1234/internationalconference.2024.5951
bac836ce-b793-4f6e-9c7f-f2c7baefa9c2,Evolutionary Framework in Biology,2021-07-15 12:55:01.486628,Nature,61,Biology,0.418,0.358,0.189,True,10.1234/nature.2021.6045
820670f6-59a5-4a08-aaae-a615c964192a,Data Approach in Computer Science,2019-10-27 02:44:15.232649,ICML,130,Computer Science,0.582,0.446,0.691,True,10.1234/icml.2019.2790
0020472d-ec27-4fc7-a2fe-bc02412f719f,Algorithm Study in Computer Science,2018-03-24 16:55:25.184412,ICML,10,Computer Science,0.795,0.699,0.531,True,10.1234/icml.2018.5407
06518df9-392e-4a12-aa3d-1a0b207ab08d,Atomic Study in Physics,2016-03-31 02:35:24.155963,Nature Physics,482,Physics,0.895,0.895,0.455,True,10.1234/naturephysics.2016.7520
3f300412-55d3-4281-89ab-b4961fcccf7f,Network Approach in Computer Science,2022-10-09 00:45:59.605410,SIGIR,32,Computer Science,0.265,0.428,0.549,True,10.1234/sigir.2022.3759
9ec69334-b0f5-4421-8fde-890fd2210842,Field Approach in Physics,2020-05-21 06:23:40.664032,APL,0,Physics,0.445,0.363,0.56,True,10.1234/apl.2020.2587
4a3c6400-e697-40cd-ac99-4ac1f9ab4f65,Genomic Framework in Biology,2024-01-10 05:23:31.963318,Nature,40,Biology,0.956,0.735,0.455,True,10.1234/nature.2024.9600
c06d53e6-2cec-4333-afcb-e2078f3d85fc,Theoretical Analysis in Chemistry,2024-06-03 00:28:12.572546,International Conference,171,Chemistry,0.541,0.538,0.173,True,10.1234/internationalconference.2024.8060
8f73d5c4-bff6-4297-9bca-a27a21bdd711,Thermodynamic Study in Physics,2021-08-16 17:10:39.364320,Physical Review Letters,73,Physics,0.022,0.0,0.354,True,10.1234/physicalreviewletters.2021.7138
a1ceb8f5-00d7-4ba0-a7da-44ab8ac59391,Machine Study in Computer Science,2017-12-11 18:40:14.398212,KDD,102,Computer Science,0.891,0.744,0.829,True,10.1234/kdd.2017.4244
0cb14dbd-766f-4be5-9e7b-0cb5ec8b10d5,Genetic Study in Biology,2019-03-05 00:36:19.693608,Nature,211,Biology,0.774,0.778,0.607,True,10.1234/nature.2019.9234
b0f7f68b-8fd2-4729-a783-3a901a7d9352,Advanced Framework in Chemistry,2020-06-30 09:31:48.566415,Journal of Chemistry,3,Chemistry,0.749,0.627,0.468,True,10.1234/journalofchemistry.2020.4482
edcdb529-f697-4e1e-938e-41053f32c725,Cellular Study in Biology,2021-01-31 09:19:35.536595,PNAS,73,Biology,0.143,0.295,0.619,True,10.1234/pnas.2021.1966
b6003d96-b3d4-41d9-b9f6-4115497a0ff7,Novel Study in Psychology,2020-04-06 03:17:40.997868,Journal of Psychology,36,Psychology,0.342,0.221,0.535,True,10.1234/journalofpsychology.2020.5249
7d1afaf2-a7ed-4b49-a36d-c238b952c77b,Theoretical Framework in Chemistry,2023-05-26 14:38:48.051520,International Conference,15,Chemistry,0.821,1.0,0.818,True,10.1234/internationalconference.2023.2789
80e49e15-ca7d-461a-b386-cdfa51790591,Machine Approach in Computer Science,2016-03-16 09:31:45.392778,SIGIR,77,Computer Science,0.91,0.929,0.252,True,10.1234/sigir.2016.5802
ad0a54a2-b843-49ff-9087-f6ca26e56ec7,Advanced Framework in Mathematics,2024-03-27 02:33:08.957258,International Conference,0,Mathematics,0.87,0.723,0.237,True,10.1234/internationalconference.2024.3042
ba5559f1-57cc-4caf-9953-34c0b40559a7,Experimental Approach in Medicine,2018-08-09 04:14:38.167774,JAMA,118,Medicine,0.255,0.219,0.263,True,10.1234/jama.2018.6605
eaaa27b4-e929-4e7d-862d-8dae0a02bcc2,Quantum Study in Physics,2021-09-08 09:28:04.065364,Physical Review Letters,94,Physics,0.501,0.525,0.544,True,10.1234/physicalreviewletters.2021.8829
a07d4201-44f1-4be0-8c88-4180da81300f,Field Approach in Physics,2020-12-05 21:56:11.411132,Physical Review Letters,115,Physics,0.33,0.407,0.125,False,10.1234/physicalreviewletters.2020.1155
c76b1c36-38a5-4eb4-827f-62bb306d61fa,Advanced Analysis in Medicine,2020-09-04 04:11:36.901618,JAMA,52,Medicine,0.385,0.578,0.599,False,10.1234/jama.2020.1118
88896a40-ae16-448f-b853-26a0b4733922,Biological Approach in Biology,2022-12-08 10:28:38.020350,Science,6,Biology,0.583,0.566,0.448,True,10.1234/science.2022.2586
9bb517cf-200c-43b9-b113-662a2eaf23b3,Cellular Approach in Biology,2016-10-03 03:15:24.415267,Nature,89,Biology,0.874,0.987,0.54,True,10.1234/nature.2016.7154
2947b1b0-fef6-4ad2-b7ef-5ed764dc1dd2,Experimental Framework in Engineering,2025-04-24 13:32:34.178724,International Conference,1,Engineering,0.783,0.739,0.287,True,10.1234/internationalconference.2025.8753
