paper_id,publication_date,citations,author_count,impact_factor,research_field,publication_year,citation_score,paper_age_days,recency_score,journal_score,collaboration_score,field_median_citations,field_median_authors,field_adjustment,citation_score_adj,composite_score
PAPER_00021,2018-06-03 11:32:31.111775,46,4,5.5,Biology,2018,49.13673233981174,2698,26.082191780821915,18.24212271973466,73.64028618842732,29.0,4.0,0.9206349206349206,45.23699167792192,52.78402667594945
PAPER_00022,2021-06-24 11:32:31.111775,6,3,2.47,Computer Science,2021,24.834285861920208,1581,56.684931506849324,8.192371475953566,63.212055882855765,32.0,4.0,1.0158730158730158,25.22848087560148,47.511098513999684
PAPER_00023,2022-07-25 11:32:31.111775,14,4,4.52,Computer Science,2022,34.560944581769135,1185,67.53424657534246,14.991708126036485,73.64028618842732,32.0,4.0,1.0158730158730158,35.109531003701974,60.38671719400235
PAPER_00024,2016-02-10 11:32:31.111775,20,5,1.9,Biology,2016,38.855103648110145,3542,2.9589041095890445,6.301824212271974,81.11243971624383,29.0,4.0,0.9206349206349206,35.7713652633395,38.236044044666315
PAPER_00025,2022-02-08 11:32:31.111775,27,2,6.35,Computer Science,2022,42.52658808334245,1352,62.95890410958904,21.061359867330015,48.6582880967408,32.0,4.0,1.0158730158730158,43.20161329101455,59.79539890227685
PAPER_00026,2018-01-16 11:32:31.111775,84,6,3.82,Mathematics,2018,56.698440748696335,2836,22.301369863013697,12.669983416252073,86.46647167633873,31.0,4.0,0.9841269841269841,55.79846549871702,58.27445645068142
PAPER_00027,2023-11-04 11:32:31.111775,9,2,5.48,Computer Science,2023,29.386277906290324,718,80.32876712328768,18.175787728026535,48.6582880967408,32.0,4.0,1.0158730158730158,29.852726761945725,57.68160634438583
PAPER_00028,2023-02-06 11:32:31.111775,33,6,2.95,Engineering,2023,45.004465063828256,989,72.9041095890411,9.784411276948592,86.46647167633873,31.5,4.0,1.0,45.004465063828256,68.6889388159925
PAPER_00029,2023-09-05 11:32:31.111775,43,3,1.78,Engineering,2023,48.29495707705974,778,78.68493150684932,5.903814262023217,63.212055882855765,31.5,4.0,1.0,48.29495707705974,66.67091769781331
PAPER_00030,2021-12-04 11:32:31.111775,1,2,2.68,Biology,2021,8.846151110711121,1418,61.15068493150685,8.88888888888889,48.6582880967408,29.0,4.0,0.9206349206349206,8.144075625734047,37.08974774790004
PAPER_00031,2020-07-08 11:32:31.111775,45,1,2.44,Chemistry,2020,48.86226373265544,1932,47.06849315068493,8.092868988391375,28.34686894262107,28.0,4.0,0.8888888888888888,43.43312331791595,47.01168061462207
PAPER_00032,2018-04-14 11:32:31.111775,7,3,2.21,Engineering,2018,26.538453332133365,2748,24.712328767123292,7.330016583747927,63.212055882855765,31.5,4.0,1.0,26.538453332133365,37.25014528532316
PAPER_00033,2020-11-06 11:32:31.111775,2,2,1.72,Physics,2020,14.020817786189935,1811,50.38356164383562,5.704809286898839,48.6582880967408,32.0,4.0,1.0158730158730158,14.243370449462791,35.8961881637923
PAPER_00034,2022-06-03 11:32:31.111775,228,3,5.27,Biology,2022,69.34678129716461,1237,66.1095890410959,17.47927031509121,63.212055882855765,29.0,4.0,0.9206349206349206,63.843068495802335,73.9091182694472
PAPER_00035,2018-12-07 11:32:31.111775,285,1,1.27,Biology,2018,72.183454889102,2511,31.205479452054796,4.212271973466004,28.34686894262107,29.0,4.0,0.9206349206349206,66.45460926298279,53.00945920837874
PAPER_00036,2024-11-21 11:32:31.111775,93,4,7.56,Chemistry,2024,57.98288345052287,335,90.82191780821918,25.07462686567164,73.64028618842732,28.0,4.0,0.8888888888888888,51.54034084490922,79.73713778393609
PAPER_00037,2025-07-24 11:32:31.111775,15,7,1.58,Biology,2025,35.384604442844484,90,97.53424657534246,5.240464344941957,90.30280321355949,29.0,4.0,0.9206349206349206,32.57630250293619,69.83422683935225
PAPER_00038,2015-11-20 11:32:31.111775,4,3,12.72,Biology,2015,20.5401267955792,3624,0.7123287671232825,42.18905472636816,63.212055882855765,29.0,4.0,0.9206349206349206,18.909958002279264,34.45773405832266
PAPER_00039,2024-04-28 11:32:31.111775,58,1,14.39,Computer Science,2024,52.03874934502931,542,85.15068493150685,47.72802653399669,28.34686894262107,32.0,4.0,1.0158730158730158,52.86476123939485,75.50556982177157
PAPER_00040,2024-11-06 11:32:31.111775,26,3,2.52,Biology,2024,42.062453358569805,350,90.41095890410959,8.358208955223882,63.212055882855765,29.0,4.0,0.9206349206349206,38.72416340947696,66.12584491728778
PAPER_00041,2017-08-08 11:32:31.111775,5,2,14.22,Computer Science,2017,22.866968896901056,2997,17.890410958904113,47.16417910447762,48.6582880967408,32.0,4.0,1.0158730158730158,23.229936657169326,40.94931645335353
PAPER_00042,2023-08-23 11:32:31.111775,31,7,7.1,Biology,2023,44.23075555355561,791,78.32876712328766,23.548922056384743,90.30280321355949,29.0,4.0,0.9206349206349206,40.72037812867024,72.67814862907721
PAPER_00043,2020-07-21 11:32:31.111775,1,5,1.26,Biology,2020,8.846151110711121,1919,47.42465753424657,4.179104477611941,81.11243971624383,29.0,4.0,0.9206349206349206,8.144075625734047,37.75396090648807
PAPER_00044,2019-08-18 11:32:31.111775,161,2,9.83,Biology,2019,64.92942225547085,2257,38.16438356164383,32.60364842454395,48.6582880967408,29.0,4.0,0.9206349206349206,59.776293505036655,63.47418473862457
PAPER_00045,2018-12-06 11:32:31.111775,12,3,1.13,Computer Science,2018,32.73464892275337,2512,31.17808219178082,3.7479270315091213,63.212055882855765,32.0,4.0,1.0158730158730158,33.254246524701834,42.065771104131194
PAPER_00046,2017-07-22 11:32:31.111775,54,6,1.6,Physics,2017,51.14278165121671,3014,17.424657534246577,5.306799336650084,86.46647167633873,32.0,4.0,1.0158730158730158,51.95457183615665,52.595383166504206
PAPER_00047,2018-03-24 11:32:31.111775,16,3,3.64,Engineering,2018,36.15831395311713,2769,24.136986301369866,12.072968490878939,63.212055882855765,31.5,4.0,1.0,36.15831395311713,43.49764879116664
PAPER_00048,2024-05-17 11:32:31.111775,34,4,1.25,Biology,2024,45.374412657499406,523,85.67123287671232,4.1459369817578775,73.64028618842732,29.0,4.0,0.9206349206349206,41.7732687957931,67.14163788050581
PAPER_00049,2019-08-03 11:32:31.111775,37,3,1.53,Computer Science,2019,46.42395980198043,2272,37.753424657534254,5.074626865671642,63.212055882855765,32.0,4.0,1.0158730158730158,47.16084805280551,52.098699891482305
PAPER_00050,2016-12-16 11:32:31.111775,8,2,10.2,Biology,2016,28.04163557237987,3232,11.45205479452055,33.83084577114428,48.6582880967408,29.0,4.0,0.9206349206349206,25.816108939651308,36.596343199061224
PAPER_00051,2016-11-07 11:32:31.111775,304,6,16.71,Engineering,2016,73.00432548159705,3271,10.383561643835614,55.422885572139315,86.46647167633873,31.5,4.0,1.0,73.00432548159705,74.99660247062157
PAPER_00052,2020-01-28 11:32:31.111775,81,4,5.8,Physics,2020,56.239865727055985,2094,42.63013698630137,19.237147595356554,73.64028618842732,32.0,4.0,1.0158730158730158,57.13256200843782,64.99546942678315
PAPER_00053,2016-11-24 11:32:31.111775,207,4,3.17,Computer Science,2016,68.11925336559787,3254,10.849315068493148,10.514096185737976,73.64028618842732,32.0,4.0,1.0158730158730158,69.200511355528,58.466068854967645
PAPER_00054,2019-11-03 11:32:31.111775,146,3,7.92,Chemistry,2019,63.689389510030345,2180,40.273972602739725,26.268656716417908,63.212055882855765,28.0,4.0,0.8888888888888888,56.612790675582524,63.71328228847181
PAPER_00055,2025-04-26 11:32:31.111775,43,6,1.36,Computer Science,2025,48.29495707705974,179,95.0958904109589,4.510779436152571,86.46647167633873,32.0,4.0,1.0158730158730158,49.06154369733053,76.9013861553329
PAPER_00056,2019-09-02 11:32:31.111775,177,3,9.59,Computer Science,2019,66.13146759372367,2242,38.57534246575342,31.807628524046432,63.212055882855765,32.0,4.0,1.0158730158730158,67.18117342854468,70.30693963773422
PAPER_00057,2022-08-01 11:32:31.111775,3,3,2.3,Biology,2022,17.692302221422242,1178,67.72602739726028,7.628524046434494,63.212055882855765,29.0,4.0,0.9206349206349206,16.288151251468094,46.26416577904426
PAPER_00058,2018-10-12 11:32:31.111775,9,3,6.93,Computer Science,2018,29.386277906290324,2567,29.671232876712327,22.98507462686567,63.212055882855765,32.0,4.0,1.0158730158730158,29.852726761945725,44.8991620282155
PAPER_00059,2024-11-11 11:32:31.111775,1,1,4.31,Mathematics,2024,8.846151110711121,345,90.54794520547945,14.29519071310116,28.34686894262107,31.0,4.0,0.9841269841269841,8.705736013715706,44.6207077812846
PAPER_00060,2016-04-19 11:32:31.111775,17,4,10.68,Physics,2016,36.88778668309099,3473,4.849315068493154,35.42288557213931,73.64028618842732,32.0,4.0,1.0158730158730158,37.47330710663211,46.10033593307461
PAPER_00061,2023-12-30 11:32:31.111775,21,6,7.0,Chemistry,2023,39.44880596634863,662,81.86301369863014,23.217247097844112,86.46647167633873,28.0,4.0,0.8888888888888888,35.065605303421,69.96557620199376
PAPER_00062,2020-12-18 11:32:31.111775,13,3,7.57,Physics,2020,33.68043697263133,1769,51.534246575342465,25.10779436152571,63.212055882855765,32.0,4.0,1.0158730158730158,34.215047083308015,55.151511888545016
PAPER_00063,2021-10-29 11:32:31.111775,102,3,4.0,Biology,2021,59.149794065312335,1454,60.164383561643845,13.266998341625207,63.212055882855765,29.0,4.0,0.9206349206349206,54.45536596489072,65.73992626208167
PAPER_00064,2017-03-19 11:32:31.111775,19,5,6.37,Physics,2017,38.232429017001444,3139,14.000000000000002,21.127694859038144,81.11243971624383,32.0,4.0,1.0158730158730158,38.839292969652256,47.57181079100322
PAPER_00065,2020-01-22 11:32:31.111775,14,6,5.25,Biology,2020,34.560944581769135,2100,42.465753424657535,17.412935323383085,86.46647167633873,29.0,4.0,0.9206349206349206,31.818012472104915,53.43713521084741
PAPER_00066,2016-09-11 11:32:31.111775,36,5,1.53,Computer Science,2016,46.08361167655632,3328,8.821917808219181,5.074626865671642,81.11243971624383,32.0,4.0,1.0158730158730158,46.8150975761842,45.80632059806848
PAPER_00067,2022-01-02 11:32:31.111775,6,3,4.14,Mathematics,2022,24.834285861920208,1389,61.945205479452056,13.73134328358209,63.212055882855765,31.0,4.0,0.9841269841269841,24.440090848238935,50.34099495839314
PAPER_00068,2019-02-06 11:32:31.111775,91,3,1.48,Psychology,2019,57.70841484336656,2450,32.87671232876712,4.9087893864013274,63.212055882855765,32.0,4.0,1.0158730158730158,58.624421428181904,56.57426396549722
PAPER_00069,2025-02-11 11:32:31.111775,3,3,7.11,Biology,2025,17.692302221422242,253,93.06849315068493,23.58208955223881,63.212055882855765,29.0,4.0,0.9206349206349206,16.288151251468094,59.055832943583184
PAPER_00070,2022-11-11 11:32:31.111775,466,3,1.2,Biology,2022,78.44128767226775,1076,70.52054794520548,3.9800995024875623,63.212055882855765,29.0,4.0,0.9206349206349206,72.21578865065919,76.2616423174741
PAPER_00071,2022-10-01 11:32:31.111775,80,3,14.04,Computer Science,2022,56.08327114475974,1117,69.3972602739726,46.56716417910447,63.212055882855765,32.0,4.0,1.0158730158730158,56.973481797851164,79.1347241608633
PAPER_00072,2025-09-28 11:32:31.111775,9,4,2.54,Medicine,2025,29.386277906290324,24,99.34246575342466,8.424543946932008,73.64028618842732,31.0,4.0,0.9841269841269841,28.91982905063492,65.97632013745175
PAPER_00073,2025-06-23 11:32:31.111775,0,6,1.56,Medicine,2025,0.0,121,96.68493150684931,5.174129353233831,86.46647167633873,31.0,4.0,0.9841269841269841,0.0,51.261617707711
PAPER_00074,2019-11-14 11:32:31.111775,96,4,9.23,Engineering,2019,58.383826319510256,2169,40.57534246575343,30.613598673300167,73.64028618842732,31.5,4.0,1.0,58.383826319510256,68.03294527325276
PAPER_00075,2022-04-15 11:32:31.111775,63,4,1.14,Computer Science,2022,53.07690666426673,1286,64.76712328767124,3.7810945273631837,73.64028618842732,32.0,4.0,1.0158730158730158,53.919397246239214,66.5500880402842
PAPER_00076,2017-12-20 11:32:31.111775,68,6,2.91,Medicine,2017,54.03693040813425,2863,21.56164383561644,9.65174129353234,86.46647167633873,31.0,4.0,0.9841269841269841,53.179201354036884,55.80874770320594
PAPER_00077,2023-09-18 11:32:31.111775,80,5,5.41,Computer Science,2023,56.08327114475974,765,79.04109589041096,17.943615257048094,81.11243971624383,32.0,4.0,1.0158730158730158,56.973481797851164,78.29053380648514
PAPER_00078,2016-08-04 11:32:31.111775,3,2,2.14,Biology,2016,17.692302221422242,3366,7.780821917808223,7.097844112769487,48.6582880967408,29.0,4.0,0.9206349206349206,16.288151251468094,23.06714351805189
PAPER_00079,2016-04-29 11:32:31.111775,19,3,3.26,Physics,2016,38.232429017001444,3463,5.1232876712328785,10.812603648424544,63.212055882855765,32.0,4.0,1.0158730158730158,38.839292969652256,38.216392992230475
PAPER_00080,2023-03-25 11:32:31.111775,5,2,4.62,Engineering,2023,22.866968896901056,942,74.1917808219178,15.323383084577117,48.6582880967408,31.5,4.0,1.0,22.866968896901056,51.10333616757076
PAPER_00081,2018-05-15 11:32:31.111775,121,6,10.11,Chemistry,2018,61.31034979672897,2717,25.561643835616444,33.53233830845771,86.46647167633873,28.0,4.0,0.8888888888888888,54.498088708203525,64.27313094713433
PAPER_00082,2024-06-25 11:32:31.111775,47,1,1.33,Chemistry,2024,49.40542222903442,484,86.73972602739725,4.411276948590382,28.34686894262107,28.0,4.0,0.8888888888888888,43.915930870252815,59.59962717345921
PAPER_00083,2019-01-22 11:32:31.111775,17,6,1.51,Engineering,2019,36.88778668309099,2465,32.46575342465754,5.0082918739635165,86.46647167633873,31.5,4.0,1.0,36.88778668309099,49.471910609694845
PAPER_00084,2016-09-15 11:32:31.111775,2,5,3.13,Physics,2016,14.020817786189935,3324,8.931506849315074,10.381426202321725,81.11243971624383,32.0,4.0,1.0158730158730158,14.243370449462791,29.773738739673593
PAPER_00085,2025-05-28 11:32:31.111775,16,4,2.63,Chemistry,2025,36.15831395311713,147,95.97260273972603,8.723051409618574,73.64028618842732,28.0,4.0,0.8888888888888888,32.140723513881895,66.65521582943778
PAPER_00086,2018-06-04 11:32:31.111775,17,4,2.59,Computer Science,2018,36.88778668309099,2697,26.109589041095894,8.590381426202322,73.64028618842732,32.0,4.0,1.0158730158730158,37.47330710663211,46.03127414790885
PAPER_00087,2025-07-13 11:32:31.111775,68,4,2.06,Biology,2025,54.03693040813425,101,97.23287671232876,6.832504145936983,73.64028618842732,29.0,4.0,0.9206349206349206,49.74828513764741,76.02772680598972
PAPER_00088,2016-12-11 11:32:31.111775,50,2,3.47,Computer Science,2016,50.17913173930706,3237,11.315068493150681,11.509121061359869,48.6582880967408,32.0,4.0,1.0158730158730158,50.975625893899235,44.06914592606233
PAPER_00089,2020-01-28 11:32:31.111775,139,2,7.44,Medicine,2020,63.06671487892165,2094,42.63013698630137,24.67661691542289,48.6582880967408,31.0,4.0,0.9841269841269841,62.065655912589555,64.07410340395572
PAPER_00090,2018-12-06 11:32:31.111775,29,3,1.53,Psychology,2018,43.407095692480254,2512,31.17808219178082,5.074626865671642,63.212055882855765,32.0,4.0,1.0158730158730158,44.09609721140851,48.24530525416939
PAPER_00091,2020-11-24 11:32:31.111775,5,4,1.73,Computer Science,2020,22.866968896901056,1793,50.87671232876711,5.737976782752902,73.64028618842732,32.0,4.0,1.0158730158730158,23.229936657169326,45.92915880893828
PAPER_00092,2022-12-10 11:32:31.111775,64,4,4.33,Physics,2022,53.27477571833257,1047,71.31506849315068,14.361525704809289,73.64028618842732,32.0,4.0,1.0158730158730158,54.12040707894102,71.69756429366684
PAPER_00093,2025-03-02 11:32:31.111775,77,4,1.17,Biology,2025,55.60161781965442,234,93.58904109589041,3.880597014925373,73.64028618842732,29.0,4.0,0.9206349206349206,51.18879100857073,74.78547950631435
PAPER_00094,2019-11-27 11:32:31.111775,39,5,4.36,Biology,2019,47.07858012771256,2156,40.93150684931507,14.461028192371478,81.11243971624383,29.0,4.0,0.9206349206349206,43.34218487948141,57.240693144682666
PAPER_00095,2017-08-21 11:32:31.111775,80,6,2.13,Physics,2017,56.08327114475974,2984,18.246575342465754,7.064676616915423,86.46647167633873,32.0,4.0,1.0158730158730158,56.973481797851164,56.039075844184325
PAPER_00096,2019-12-19 11:32:31.111775,31,3,2.33,Computer Science,2019,44.23075555355561,2134,41.53424657534247,7.728026533996683,63.212055882855765,32.0,4.0,1.0158730158730158,44.93283103853268,52.883788640844166
PAPER_00097,2019-10-19 11:32:31.111775,34,3,2.56,Computer Science,2019,45.374412657499406,2195,39.863013698630134,8.490878938640133,63.212055882855765,32.0,4.0,1.0158730158730158,46.094641429840664,53.15165296947348
PAPER_00098,2018-03-01 11:32:31.111775,24,4,2.29,Physics,2018,41.0802535911584,2792,23.50684931506849,7.595356550580432,73.64028618842732,32.0,4.0,1.0158730158730158,41.732321108478374,47.17788631372631
PAPER_00099,2023-05-01 11:32:31.111775,1,3,6.52,Computer Science,2023,8.846151110711121,905,75.20547945205479,21.625207296849087,63.212055882855765,32.0,4.0,1.0158730158730158,8.986566207706534,48.612086840323784
PAPER_00100,2018-10-22 11:32:31.111775,4,5,9.76,Physics,2018,20.5401267955792,2557,29.945205479452053,32.3714759535655,81.11243971624383,32.0,4.0,1.0158730158730158,20.866160554239187,46.29054609960566
PAPER_00101,2023-09-07 11:32:31.111775,1,6,3.38,Biology,2023,8.846151110711121,776,78.73972602739727,11.2106135986733,86.46647167633873,29.0,4.0,0.9206349206349206,8.144075625734047,51.23291698381204
PAPER_00102,2023-06-24 11:32:31.111775,49,5,3.62,Engineering,2023,49.92640470186952,851,76.68493150684932,12.006633499170812,81.11243971624383,31.5,4.0,1.0,49.92640470186952,72.12014654446274
PAPER_00103,2023-01-30 11:32:31.111775,16,5,1.22,Mathematics,2023,36.15831395311713,996,72.71232876712328,4.046434494195688,81.11243971624383,31.0,4.0,0.9841269841269841,35.584372461797805,60.945612117267665
PAPER_00104,2016-08-12 11:32:31.111775,32,6,4.75,Chemistry,2016,44.62347264182743,3358,7.9999999999999964,15.754560530679933,86.46647167633873,28.0,4.0,0.8888888888888888,39.665309014957714,45.636724280594294
PAPER_00105,2022-08-24 11:32:31.111775,159,3,3.63,Computer Science,2022,64.77088234913481,1155,68.35616438356165,12.039800995024876,63.212055882855765,32.0,4.0,1.0158730158730158,65.79899159277187,74.25302739836992
PAPER_00106,2022-12-07 11:32:31.111775,12,6,1.16,Biology,2022,32.73464892275337,1050,71.23287671232876,3.8474295190713104,86.46647167633873,29.0,4.0,0.9206349206349206,30.13666091301104,58.54790358670991
PAPER_00107,2017-09-24 11:32:31.111775,23,2,1.66,Psychology,2017,40.5592711183233,2950,19.17808219178082,5.505804311774462,48.6582880967408,32.0,4.0,1.0158730158730158,41.2030690725824,39.84756825250658
PAPER_00108,2021-10-20 11:32:31.111775,75,3,1.68,Biology,2021,55.27011091269155,1463,59.917808219178085,5.5721393034825875,63.212055882855765,29.0,4.0,0.9206349206349206,50.883594173589046,61.67224113920099
PAPER_00109,2023-12-28 11:32:31.111775,10,4,1.56,Biology,2023,30.6026548556375,664,81.80821917808218,5.174129353233831,73.64028618842732,29.0,4.0,0.9206349206349206,28.173872724237697,58.81663543362677
PAPER_00110,2018-07-23 11:32:31.111775,3,4,4.22,Engineering,2018,17.692302221422242,2648,27.452054794520553,13.996683250414593,73.64028618842732,31.5,4.0,1.0,17.692302221422242,37.309279444245774
PAPER_00111,2017-08-24 11:32:31.111775,14,4,8.91,Computer Science,2017,34.560944581769135,2981,18.32876712328767,29.55223880597015,73.64028618842732,32.0,4.0,1.0158730158730158,35.109531003701974,47.77909785667083
PAPER_00112,2020-12-30 11:32:31.111775,7,3,5.32,Physics,2020,26.538453332133365,1757,51.863013698630134,17.64510779436153,63.212055882855765,32.0,4.0,1.0158730158730158,26.959698623119607,49.36083758135093
PAPER_00113,2020-01-26 11:32:31.111775,189,6,2.95,Computer Science,2020,66.96408659755963,2096,42.57534246575343,9.784411276948592,86.46647167633873,32.0,4.0,1.0158730158730158,68.02700860704469,70.87339107434364
PAPER_00114,2018-11-03 11:32:31.111775,93,4,2.55,Biology,2018,57.98288345052287,2545,30.27397260273973,8.45771144278607,73.64028618842732,29.0,4.0,0.9206349206349206,53.381067303655975,55.93778086493616
PAPER_00115,2022-12-28 11:32:31.111775,49,3,2.47,Computer Science,2022,49.92640470186952,1029,71.8082191780822,8.192371475953566,63.212055882855765,32.0,4.0,1.0158730158730158,50.71888731618491,66.27897053333841
PAPER_00116,2023-07-13 11:32:31.111775,127,4,3.76,Computer Science,2023,61.92305777497785,832,77.20547945205479,12.470978441127695,73.64028618842732,32.0,4.0,1.0158730158730158,62.905963453945745,77.88600852060516
PAPER_00117,2022-01-22 11:32:31.111775,91,7,2.34,Biology,2022,57.70841484336656,1369,62.49315068493151,7.761194029850746,90.30280321355949,29.0,4.0,0.9206349206349206,53.12838191928985,69.78683207683198
PAPER_00118,2018-04-11 11:32:31.111775,8,9,1.77,Chemistry,2018,28.04163557237987,2751,24.630136986301366,5.870646766169155,95.0212931632136,28.0,4.0,0.8888888888888888,24.925898286559885,42.371390793636635
PAPER_00119,2023-06-29 11:32:31.111775,144,4,3.77,Psychology,2023,63.514560771440486,846,76.82191780821917,12.50414593698176,73.64028618842732,32.0,4.0,1.0158730158730158,64.5227284027332,78.63453426769014
PAPER_00120,2019-06-14 11:32:31.111775,36,1,2.49,Mathematics,2019,46.08361167655632,2322,36.38356164383561,8.258706467661693,28.34686894262107,31.0,4.0,0.9841269841269841,45.352125776928446,44.50007759758045
PAPER_00121,2025-04-07 11:32:31.111775,93,6,1.04,Biology,2025,57.98288345052287,198,94.57534246575342,3.4494195688225546,86.46647167633873,29.0,4.0,0.9206349206349206,53.381067303655975,78.76166001963509
PAPER_00122,2024-06-06 11:32:31.111775,147,4,1.07,Chemistry,2024,63.77591389797856,503,86.21917808219179,3.5489220563847437,73.64028618842732,28.0,4.0,0.8888888888888888,56.68970124264761,75.17698195181484
PAPER_00123,2024-07-07 11:32:31.111775,16,5,1.96,Physics,2024,36.15831395311713,472,87.06849315068493,6.500829187396352,81.11243971624383,32.0,4.0,1.0158730158730158,36.73225544443645,67.0405423547632
PAPER_00124,2016-06-10 11:32:31.111775,4,4,3.15,Biology,2016,20.5401267955792,3421,6.273972602739731,10.44776119402985,73.64028618842732,29.0,4.0,0.9206349206349206,18.909958002279264,29.90089289703229
PAPER_00125,2018-05-20 11:32:31.111775,10,3,2.31,Computer Science,2018,30.6026548556375,2712,25.6986301369863,7.661691542288558,63.212055882855765,32.0,4.0,1.0158730158730158,31.08841128191746,40.11413018280493
PAPER_00126,2025-01-11 11:32:31.111775,24,4,1.07,Chemistry,2025,41.0802535911584,284,92.21917808219177,3.5489220563847437,73.64028618842732,28.0,4.0,0.8888888888888888,36.51578096991858,66.35556460343601
PAPER_00127,2016-03-04 11:32:31.111775,97,2,1.76,Physics,2016,58.51472283455155,3519,3.5890410958904106,5.837479270315091,48.6582880967408,32.0,4.0,1.0158730158730158,59.443527958909506,44.500612247480944
PAPER_00128,2024-11-03 11:32:31.111775,120,4,1.3,Psychology,2024,61.205309711275,353,90.32876712328766,4.311774461028193,73.64028618842732,32.0,4.0,1.0158730158730158,62.17682256383492,79.70858316129548
