conversation_id,user_id,start_time,end_time,duration_minutes,category,satisfaction_score,is_resolved
conv_000066,user_00605,2025-08-10 17:42:36.481404,2025-08-10 17:50:36.481404,8,billing_question,3,True
conv_000067,user_00468,2025-07-10 23:52:07.481404,2025-07-11 00:11:07.481404,19,billing_question,5,True
conv_000068,user_00077,2025-08-24 02:05:55.481404,2025-08-24 02:11:55.481404,6,technical_help,5,True
conv_000069,user_00666,2025-07-17 07:15:16.481404,2025-07-17 07:30:16.481404,15,general_feedback,5,True
conv_000070,user_00325,2025-09-08 08:39:15.481404,2025-09-08 08:59:15.481404,20,feature_request,3,True
conv_000071,user_00241,2025-09-08 18:49:05.481404,2025-09-08 19:17:05.481404,28,product_inquiry,5,False
conv_000072,user_00101,2025-09-21 07:53:46.481404,2025-09-21 08:09:46.481404,16,billing_question,4,True
conv_000073,user_00926,2025-07-12 07:33:30.481404,2025-07-12 07:35:30.481404,2,technical_help,3,True
conv_000074,user_00384,2025-08-20 07:40:45.481404,2025-08-20 07:44:45.481404,4,product_inquiry,5,True
conv_000075,user_00699,2025-09-24 10:48:38.481404,2025-09-24 10:58:38.481404,10,product_inquiry,3,False
conv_000076,user_00892,2025-08-15 15:29:57.481404,2025-08-15 15:41:57.481404,12,billing_question,5,False
conv_000077,user_00473,2025-09-09 10:31:54.481404,2025-09-09 10:37:54.481404,6,billing_question,4,True
conv_000078,user_00921,2025-09-25 15:02:14.481404,2025-09-25 15:11:14.481404,9,technical_help,5,True
conv_000079,user_00076,2025-08-21 09:24:40.481404,2025-08-21 09:56:40.481404,32,feature_request,5,True
conv_000080,user_00435,2025-09-14 12:39:12.481404,2025-09-14 12:52:12.481404,13,billing_question,4,False
conv_000081,user_00394,2025-09-30 08:31:19.481404,2025-09-30 08:40:19.481404,9,customer_support,3,True
conv_000082,user_00368,2025-09-03 07:30:54.481404,2025-09-03 07:36:54.481404,6,general_feedback,4,False
conv_000083,user_00850,2025-09-11 09:53:34.481404,2025-09-11 10:01:34.481404,8,technical_help,3,True
conv_000084,user_00703,2025-09-23 01:42:14.481404,2025-09-23 01:48:14.481404,6,feature_request,5,True
conv_000085,user_00926,2025-10-05 04:05:50.481404,2025-10-05 04:11:50.481404,6,product_inquiry,5,True
conv_000086,user_00225,2025-09-09 07:32:00.481404,2025-09-09 07:43:00.481404,11,feature_request,4,True
conv_000087,user_00739,2025-09-22 00:26:34.481404,2025-09-22 00:30:34.481404,4,general_feedback,3,True
conv_000088,user_00662,2025-07-13 07:58:03.481404,2025-07-13 08:27:03.481404,29,billing_question,4,True
conv_000089,user_00750,2025-07-22 06:19:05.481404,2025-07-22 06:26:05.481404,7,technical_help,4,True
conv_000090,user_00180,2025-07-28 23:59:31.481404,2025-07-29 00:03:31.481404,4,feature_request,4,True
conv_000091,user_00936,2025-08-04 23:08:28.481404,2025-08-04 23:10:28.481404,2,technical_help,3,True
conv_000092,user_00303,2025-09-19 23:42:56.481404,2025-09-19 23:57:56.481404,15,customer_support,4,True
conv_000093,user_00145,2025-09-20 17:24:24.481404,2025-09-20 17:48:24.481404,24,general_feedback,5,True
conv_000094,user_00407,2025-09-29 14:50:01.481404,2025-09-29 15:06:01.481404,16,customer_support,4,False
conv_000095,user_00550,2025-07-21 12:05:20.481404,2025-07-21 12:24:20.481404,19,technical_help,5,True
conv_000096,user_00269,2025-09-04 06:13:48.481404,2025-09-04 06:47:48.481404,34,general_feedback,5,False
conv_000097,user_00240,2025-08-24 06:43:37.481404,2025-08-24 06:48:37.481404,5,feature_request,5,True
conv_000098,user_00625,2025-07-30 23:55:45.481404,2025-07-31 00:02:45.481404,7,general_feedback,4,True
conv_000099,user_00310,2025-09-10 12:56:38.481404,2025-09-10 13:04:38.481404,8,customer_support,3,False
conv_000100,user_00039,2025-08-08 01:19:38.481404,2025-08-08 02:00:38.481404,41,customer_support,4,True
conv_000101,user_00551,2025-07-22 16:13:35.481404,2025-07-22 16:17:35.481404,4,billing_question,3,True
conv_000102,user_00761,2025-09-15 03:01:54.481404,2025-09-15 03:19:54.481404,18,feature_request,5,True
conv_000103,user_00907,2025-08-18 18:51:26.481404,2025-08-18 18:59:26.481404,8,billing_question,5,True
conv_000104,user_00975,2025-08-05 15:56:53.481404,2025-08-05 16:08:53.481404,12,general_feedback,5,True
conv_000105,user_00456,2025-08-01 10:17:19.481404,2025-08-01 10:33:19.481404,16,customer_support,5,True
conv_000106,user_00924,2025-09-10 02:39:42.481404,2025-09-10 02:46:42.481404,7,customer_support,4,True
conv_000107,user_00992,2025-07-21 08:45:32.481404,2025-07-21 09:24:32.481404,39,customer_support,5,True
conv_000108,user_00655,2025-09-05 11:33:26.481404,2025-09-05 11:38:26.481404,5,customer_support,4,True
conv_000109,user_00129,2025-09-23 21:53:53.481404,2025-09-23 21:58:53.481404,5,product_inquiry,2,True
conv_000110,user_00568,2025-07-29 14:49:04.481404,2025-07-29 15:00:04.481404,11,product_inquiry,4,True
conv_000111,user_00808,2025-10-04 22:29:44.481404,2025-10-04 22:39:44.481404,10,technical_help,4,True
conv_000112,user_00554,2025-08-02 20:10:22.481404,2025-08-02 20:31:22.481404,21,customer_support,5,True
conv_000113,user_00135,2025-07-10 22:44:00.481404,2025-07-10 22:51:00.481404,7,product_inquiry,5,True
conv_000114,user_00179,2025-08-04 06:27:27.481404,2025-08-04 06:33:27.481404,6,product_inquiry,5,True
conv_000115,user_00117,2025-09-19 21:37:56.481404,2025-09-19 21:38:56.481404,1,billing_question,3,True
conv_000116,user_00526,2025-09-05 03:26:54.481404,2025-09-05 03:27:54.481404,1,billing_question,4,True
conv_000117,user_00630,2025-07-13 17:09:15.481404,2025-07-13 17:52:15.481404,43,technical_help,5,True
conv_000118,user_00032,2025-07-15 09:50:23.481404,2025-07-15 10:10:23.481404,20,billing_question,4,True
conv_000119,user_00503,2025-09-16 16:07:18.481404,2025-09-16 16:45:18.481404,38,customer_support,4,True
conv_000120,user_00152,2025-07-15 21:09:25.481404,2025-07-15 21:27:25.481404,18,technical_help,5,True
conv_000121,user_00562,2025-09-16 15:32:33.481404,2025-09-16 15:39:33.481404,7,billing_question,5,True
conv_000122,user_00465,2025-08-27 14:07:32.481404,2025-08-27 14:15:32.481404,8,customer_support,5,False
conv_000123,user_00671,2025-09-10 16:51:07.481404,2025-09-10 17:02:07.481404,11,billing_question,4,True
conv_000124,user_00424,2025-08-11 09:52:27.481404,2025-08-11 10:11:27.481404,19,billing_question,4,True
conv_000125,user_00321,2025-08-19 22:32:18.481404,2025-08-19 22:39:18.481404,7,general_feedback,4,True
conv_000126,user_00157,2025-09-14 04:30:55.481404,2025-09-14 04:39:55.481404,9,customer_support,3,True
conv_000127,user_00096,2025-08-20 10:27:05.481404,2025-08-20 10:43:05.481404,16,general_feedback,5,True
conv_000128,user_00134,2025-09-01 12:32:39.481404,2025-09-01 12:33:39.481404,1,feature_request,4,True
conv_000129,user_00687,2025-07-21 08:55:33.481404,2025-07-21 09:03:33.481404,8,technical_help,5,True
conv_000130,user_00434,2025-10-01 18:54:27.481404,2025-10-01 19:00:27.481404,6,technical_help,5,True
conv_000131,user_00107,2025-09-03 14:45:14.481404,2025-09-03 15:27:14.481404,42,product_inquiry,4,True
conv_000132,user_00230,2025-09-29 18:23:59.481404,2025-09-29 18:31:59.481404,8,technical_help,5,True
conv_000133,user_00781,2025-08-05 13:13:02.481404,2025-08-05 13:25:02.481404,12,billing_question,5,True
conv_000134,user_00839,2025-09-07 20:49:40.481404,2025-09-07 20:54:40.481404,5,general_feedback,4,True
conv_000135,user_00624,2025-09-11 08:57:51.481404,2025-09-11 09:03:51.481404,6,customer_support,3,True
conv_000136,user_00781,2025-08-08 12:05:34.481404,2025-08-08 12:20:34.481404,15,technical_help,3,False
conv_000137,user_00147,2025-09-02 11:43:48.481404,2025-09-02 11:51:48.481404,8,customer_support,3,True
conv_000138,user_00996,2025-07-12 11:32:33.481404,2025-07-12 11:35:33.481404,3,general_feedback,5,True
conv_000139,user_00430,2025-08-22 13:10:39.481404,2025-08-22 13:41:39.481404,31,product_inquiry,5,True
conv_000140,user_00333,2025-09-22 22:15:52.481404,2025-09-22 22:18:52.481404,3,customer_support,3,False
conv_000141,user_00633,2025-07-14 08:03:41.481404,2025-07-14 08:18:41.481404,15,technical_help,5,True
conv_000142,user_00498,2025-09-06 10:41:45.481404,2025-09-06 11:00:45.481404,19,billing_question,4,True
conv_000143,user_00525,2025-07-20 13:19:13.481404,2025-07-20 13:35:13.481404,16,billing_question,3,True
conv_000144,user_00695,2025-09-05 02:12:33.481404,2025-09-05 02:53:33.481404,41,feature_request,5,True
conv_000145,user_00226,2025-08-16 21:08:12.481404,2025-08-16 21:14:12.481404,6,customer_support,3,True
conv_000146,user_00217,2025-09-22 00:09:37.481404,2025-09-22 00:18:37.481404,9,technical_help,4,True
conv_000147,user_00008,2025-08-26 19:05:53.481404,2025-08-26 19:23:53.481404,18,product_inquiry,3,True
conv_000148,user_00721,2025-07-31 20:18:11.481404,2025-07-31 20:34:11.481404,16,customer_support,4,True
conv_000149,user_00044,2025-08-20 20:34:18.481404,2025-08-20 20:39:18.481404,5,billing_question,3,True
conv_000150,user_00590,2025-08-20 04:24:40.481404,2025-08-20 04:29:40.481404,5,billing_question,4,True
conv_000151,user_00297,2025-07-20 16:28:47.481404,2025-07-20 17:03:47.481404,35,customer_support,5,False
conv_000152,user_00971,2025-09-07 12:26:33.481404,2025-09-07 12:45:33.481404,19,general_feedback,4,False
conv_000153,user_00865,2025-07-19 18:47:07.481404,2025-07-19 18:59:07.481404,12,billing_question,5,True
conv_000154,user_00081,2025-08-16 22:18:34.481404,2025-08-16 22:32:34.481404,14,general_feedback,4,True
conv_000155,user_00798,2025-07-25 19:53:02.481404,2025-07-25 19:56:02.481404,3,feature_request,5,False
conv_000156,user_00523,2025-07-28 07:56:05.481404,2025-07-28 08:03:05.481404,7,technical_help,5,True
conv_000157,user_00661,2025-09-26 15:16:48.481404,2025-09-26 15:25:48.481404,9,product_inquiry,3,False
conv_000158,user_00203,2025-07-26 08:23:18.481404,2025-07-26 08:32:18.481404,9,general_feedback,3,False
conv_000159,user_00792,2025-09-08 11:19:59.481404,2025-09-08 12:00:59.481404,41,billing_question,5,True
conv_000160,user_00460,2025-09-13 15:15:44.481404,2025-09-13 15:45:44.481404,30,general_feedback,5,False
conv_000161,user_00070,2025-08-24 00:46:18.481404,2025-08-24 00:55:18.481404,9,general_feedback,4,True
conv_000162,user_00606,2025-07-14 22:59:48.481404,2025-07-14 23:15:48.481404,16,feature_request,3,True
conv_000163,user_00463,2025-07-13 03:44:15.481404,2025-07-13 03:46:15.481404,2,technical_help,4,False
conv_000164,user_00885,2025-09-30 13:05:03.481404,2025-09-30 13:12:03.481404,7,feature_request,5,True
conv_000165,user_00474,2025-09-03 20:22:18.481404,2025-09-03 20:32:18.481404,10,general_feedback,3,True
conv_000166,user_00830,2025-09-03 00:09:46.481404,2025-09-03 00:20:46.481404,11,technical_help,5,True
conv_000167,user_00155,2025-07-15 12:16:57.481404,2025-07-15 12:54:57.481404,38,customer_support,5,True
conv_000168,user_00087,2025-08-27 11:47:26.481404,2025-08-27 11:57:26.481404,10,customer_support,3,True
conv_000169,user_00450,2025-08-29 09:16:28.481404,2025-08-29 09:26:28.481404,10,feature_request,3,True
conv_000170,user_00940,2025-08-05 23:17:46.481404,2025-08-05 23:34:46.481404,17,billing_question,4,True
conv_000171,user_00054,2025-09-24 03:08:18.481404,2025-09-24 03:15:18.481404,7,customer_support,4,False
conv_000172,user_00695,2025-08-16 00:51:58.481404,2025-08-16 01:19:58.481404,28,technical_help,5,True
conv_000173,user_00988,2025-10-05 12:02:16.481404,2025-10-05 12:11:16.481404,9,technical_help,3,True
conv_000174,user_00145,2025-10-06 12:16:49.481404,2025-10-06 12:48:49.481404,32,technical_help,5,True
conv_000175,user_00402,2025-07-22 00:35:07.481404,2025-07-22 00:50:07.481404,15,technical_help,5,True
conv_000176,user_00811,2025-08-10 09:30:44.481404,2025-08-10 09:39:44.481404,9,general_feedback,5,True
conv_000177,user_00757,2025-09-14 01:14:16.481404,2025-09-14 01:57:16.481404,43,customer_support,5,True
conv_000178,user_00521,2025-08-13 15:13:37.481404,2025-08-13 15:24:37.481404,11,technical_help,5,False
conv_000179,user_00220,2025-08-11 16:24:01.481404,2025-08-11 16:33:01.481404,9,product_inquiry,3,True
conv_000180,user_00159,2025-07-16 23:54:50.481404,2025-07-17 00:08:50.481404,14,customer_support,5,True
conv_000181,user_00856,2025-09-19 05:16:17.481404,2025-09-19 05:26:17.481404,10,customer_support,5,True
conv_000182,user_00785,2025-09-07 12:13:26.481404,2025-09-07 12:17:26.481404,4,feature_request,4,False
conv_000183,user_00186,2025-09-28 05:16:50.481404,2025-09-28 05:26:50.481404,10,general_feedback,4,False
conv_000184,user_00374,2025-09-13 04:08:46.481404,2025-09-13 04:20:46.481404,12,billing_question,5,True
conv_000185,user_00767,2025-09-23 14:29:36.481404,2025-09-23 14:38:36.481404,9,product_inquiry,5,True
conv_000186,user_00989,2025-09-26 00:20:11.481404,2025-09-26 00:24:11.481404,4,product_inquiry,3,True
conv_000187,user_00585,2025-08-21 06:46:21.481404,2025-08-21 07:05:21.481404,19,technical_help,4,True
conv_000188,user_00429,2025-07-25 05:43:45.481404,2025-07-25 05:48:45.481404,5,feature_request,3,True
conv_000189,user_00054,2025-09-09 18:09:42.481404,2025-09-09 18:18:42.481404,9,technical_help,5,True
conv_000190,user_00729,2025-09-29 15:10:41.481404,2025-09-29 15:20:41.481404,10,customer_support,4,False
conv_000191,user_00165,2025-08-04 23:45:22.481404,2025-08-05 00:04:22.481404,19,feature_request,3,True
conv_000192,user_00094,2025-10-05 21:44:12.481404,2025-10-05 22:08:12.481404,24,billing_question,5,True
conv_000193,user_00425,2025-07-14 16:12:14.481404,2025-07-14 16:47:14.481404,35,feature_request,5,True
conv_000194,user_00084,2025-08-14 21:42:58.481404,2025-08-14 22:06:58.481404,24,customer_support,5,True
conv_000195,user_00860,2025-09-16 21:29:16.481404,2025-09-16 21:44:16.481404,15,product_inquiry,3,False
conv_000196,user_00940,2025-09-28 01:35:27.481404,2025-09-28 01:55:27.481404,20,general_feedback,3,True
conv_000197,user_00481,2025-08-22 01:25:24.481404,2025-08-22 01:27:24.481404,2,customer_support,3,True
conv_000198,user_00856,2025-07-24 00:30:44.481404,2025-07-24 00:40:44.481404,10,general_feedback,5,True
conv_000199,user_00114,2025-09-22 20:43:10.481404,2025-09-22 20:57:10.481404,14,product_inquiry,4,False
conv_000200,user_00245,2025-08-19 06:22:14.481404,2025-08-19 06:41:14.481404,19,customer_support,3,True
conv_000201,user_00512,2025-09-05 10:36:32.481404,2025-09-05 10:46:32.481404,10,customer_support,5,True
conv_000202,user_00248,2025-09-17 06:26:09.481404,2025-09-17 06:35:09.481404,9,technical_help,4,False
conv_000203,user_00362,2025-08-01 20:39:42.481404,2025-08-01 20:47:42.481404,8,product_inquiry,5,True
conv_000204,user_00537,2025-08-13 12:22:26.481404,2025-08-13 12:29:26.481404,7,feature_request,5,True
conv_000205,user_00520,2025-09-01 07:22:26.481404,2025-09-01 07:27:26.481404,5,billing_question,4,False
conv_000206,user_00397,2025-08-14 17:57:50.481404,2025-08-14 18:00:50.481404,3,general_feedback,2,True
conv_000207,user_00070,2025-08-11 23:33:15.481404,2025-08-11 23:38:15.481404,5,general_feedback,5,True
conv_000208,user_00791,2025-09-04 00:02:21.481404,2025-09-04 00:17:21.481404,15,product_inquiry,3,True
conv_000209,user_00347,2025-09-26 11:43:09.481404,2025-09-26 11:47:09.481404,4,general_feedback,4,True
conv_000210,user_00491,2025-09-08 20:09:27.481404,2025-09-08 20:30:27.481404,21,product_inquiry,4,True
conv_000211,user_00967,2025-08-22 22:34:37.481404,2025-08-22 22:46:37.481404,12,technical_help,4,False
conv_000212,user_00205,2025-10-03 12:08:51.481404,2025-10-03 12:14:51.481404,6,technical_help,4,True
conv_000213,user_00835,2025-08-31 05:27:34.481404,2025-08-31 05:31:34.481404,4,technical_help,2,True
conv_000214,user_00196,2025-08-06 06:47:35.481404,2025-08-06 06:54:35.481404,7,customer_support,5,True
conv_000215,user_00128,2025-09-25 02:42:33.481404,2025-09-25 02:45:33.481404,3,billing_question,3,True
conv_000216,user_00917,2025-08-16 01:03:14.481404,2025-08-16 01:18:14.481404,15,product_inquiry,4,True
conv_000217,user_00377,2025-10-07 05:54:21.481404,2025-10-07 06:07:21.481404,13,customer_support,5,True
conv_000218,user_00441,2025-09-05 23:55:27.481404,2025-09-06 00:05:27.481404,10,feature_request,4,True
conv_000219,user_00082,2025-08-10 08:12:54.481404,2025-08-10 08:15:54.481404,3,technical_help,3,True
conv_000220,user_00437,2025-07-25 16:25:00.481404,2025-07-25 16:44:00.481404,19,technical_help,4,False
conv_000221,user_00891,2025-10-06 00:18:18.481404,2025-10-06 00:34:18.481404,16,feature_request,4,True
conv_000222,user_00811,2025-07-15 01:45:37.481404,2025-07-15 01:52:37.481404,7,general_feedback,5,True
conv_000223,user_00526,2025-09-25 06:47:43.481404,2025-09-25 06:49:43.481404,2,customer_support,2,True
conv_000224,user_00695,2025-09-23 08:41:42.481404,2025-09-23 09:19:42.481404,38,customer_support,4,False
conv_000225,user_00798,2025-09-10 03:26:41.481404,2025-09-10 03:33:41.481404,7,technical_help,4,True
conv_000226,user_00034,2025-09-06 06:04:46.481404,2025-09-06 06:23:46.481404,19,general_feedback,5,True
conv_000227,user_00381,2025-08-21 14:33:35.481404,2025-08-21 14:47:35.481404,14,feature_request,4,True
conv_000228,user_00408,2025-08-09 00:40:39.481404,2025-08-09 01:07:39.481404,27,product_inquiry,4,False
conv_000229,user_00191,2025-08-26 22:57:47.481404,2025-08-26 23:14:47.481404,17,feature_request,3,True
conv_000230,user_00267,2025-09-15 20:38:00.481404,2025-09-15 20:57:00.481404,19,product_inquiry,5,True
conv_000231,user_00939,2025-08-26 04:41:08.481404,2025-08-26 04:52:08.481404,11,customer_support,3,True
conv_000232,user_00463,2025-07-26 06:25:29.481404,2025-07-26 06:34:29.481404,9,customer_support,5,True
conv_000233,user_00328,2025-09-12 08:17:09.481404,2025-09-12 08:33:09.481404,16,general_feedback,3,True
conv_000234,user_00298,2025-10-04 01:03:35.481404,2025-10-04 01:17:35.481404,14,product_inquiry,5,True
conv_000235,user_00718,2025-09-09 10:03:18.481404,2025-09-09 10:13:18.481404,10,technical_help,5,True
conv_000236,user_00206,2025-09-24 09:45:11.481404,2025-09-24 09:49:11.481404,4,product_inquiry,4,False
conv_000237,user_00568,2025-09-03 01:36:33.481404,2025-09-03 01:52:33.481404,16,billing_question,5,False
conv_000238,user_00906,2025-07-17 21:00:10.481404,2025-07-17 21:03:10.481404,3,technical_help,4,True
conv_000239,user_00737,2025-08-24 23:28:36.481404,2025-08-24 23:38:36.481404,10,billing_question,4,True
conv_000240,user_00076,2025-07-21 16:08:20.481404,2025-07-21 16:38:20.481404,30,general_feedback,4,True
conv_000241,user_00697,2025-08-28 17:38:33.481404,2025-08-28 17:45:33.481404,7,product_inquiry,5,True
conv_000242,user_00187,2025-09-22 01:10:02.481404,2025-09-22 01:19:02.481404,9,billing_question,5,True
conv_000243,user_00057,2025-09-28 05:23:14.481404,2025-09-28 05:31:14.481404,8,feature_request,3,True
conv_000244,user_00166,2025-08-09 19:57:37.481404,2025-08-09 20:09:37.481404,12,technical_help,5,True
conv_000245,user_00867,2025-07-17 03:51:47.481404,2025-07-17 04:04:47.481404,13,product_inquiry,5,True
conv_000246,user_00282,2025-07-21 15:46:27.481404,2025-07-21 15:52:27.481404,6,feature_request,5,False
conv_000247,user_00657,2025-07-25 21:03:23.481404,2025-07-25 21:12:23.481404,9,product_inquiry,5,True
conv_000248,user_00924,2025-09-06 06:10:56.481404,2025-09-06 06:17:56.481404,7,feature_request,3,True
conv_000249,user_00030,2025-07-17 09:22:09.481404,2025-07-17 09:24:09.481404,2,general_feedback,5,True
conv_000250,user_00216,2025-09-21 23:15:01.481404,2025-09-21 23:23:01.481404,8,feature_request,5,False
conv_000251,user_00911,2025-09-08 09:30:16.481404,2025-09-08 09:44:16.481404,14,general_feedback,4,True
conv_000252,user_00825,2025-09-25 21:21:59.481404,2025-09-25 21:29:59.481404,8,technical_help,4,False
conv_000253,user_00062,2025-07-24 20:27:37.481404,2025-07-24 21:05:37.481404,38,billing_question,5,True
conv_000254,user_00349,2025-09-06 09:43:38.481404,2025-09-06 09:52:38.481404,9,technical_help,5,True
conv_000255,user_00882,2025-08-12 00:52:41.481404,2025-08-12 01:09:41.481404,17,product_inquiry,4,True
